,Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Estimated Total Cost
,Hazardous Chemicals:,Seaforth Channel BC,13-Oct-16,Unknown,Unknown,Unknown,Unknown
,Leak / Spill Release,,,,,,
,Meteorological - Hydrological:,South Coast and Lower Mainland British Columbia,12-Oct-16,1,Unknown,Unknown,Unknown
,Storm - Unspecified / Other,,,,,,
,Meteorological - Hydrological:,South Coast and Lower Mainland British Columbia,06-Oct-16,Unknown,Unknown,Unknown,Unknown
,Storm - Unspecified / Other,,,,,,
,Meteorological - Hydrological:,West Kelowna BC,21-Aug-16,Unknown,Unknown,468,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Burns Bog BC,03-Jul-16,Unknown,Unknown,Unknown,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Northeastern British Columbia,15-Jun-16,Unknown,Unknown,60,"$65,132,000 "
,Flood,,,,,,
,Meteorological - Hydrological:,South Coast and Lower Mainland British Columbia,09-Mar-16,1,Unknown,Unknown,Unknown
,Storm - Unspecified / Other,,,,,,
,Meteorological - Hydrological:,Lower Mainland British Columbia,29-Aug-15,Unknown,1,Unknown,Unknown
,Storm - Unspecified / Other,,,,,,
,Meteorological - Hydrological:,British Columbia,09-May-15,1,Unknown,3432,"$20,401,000 "
,Wildfire,,,,,,
,Hazardous Chemicals:,Vancouver BC,08-Apr-15,Unknown,Unknown,Unknown,Unknown
,Leak / Spill Release,,,,,,
,Infrastructure failure:,Quesnel Lake BC,04-Aug-14,0,0,0,Unknown
,Manufacturing / Industry,,,,,,
,Meteorological - Hydrological:,British Columbia,01-Jul-14,0,0,4500,"$300,000,000 "
,Wildfire,,,,,,
,Meteorological - Hydrological:,Southeast British Columbia,19-Jun-13,0,0,200,"$10,796,000 "
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Peachland BC,09-Sep-12,0,0,1550,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Sicamous BC,23-Jun-12,Unknown,Unknown,350,"$3,829,000 "
,Flood,,,,,,
,Meteorological - Hydrological:,"Yukon, Northwest Territories and British Columbia",06-Jun-12,0,0,137,"$1,503,748 "
,Flood,,,,,,
,Civil Incident:,Vancouver BC,15-Jun-11,0,144,0,Unknown
,Rioting,,,,,,
,Meteorological - Hydrological:,Kingcome Inlet and Bella Coola BC,24-Sep-10,Unknown,Unknown,175,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,British Columbia,28-Jul-10,2,0,1383,"$257,339,000 "
,Wildfire,,,,,,
,Biological:,"Glengarry Hospital, Victoria BC",06-Apr-10,10,21,0,Unknown
,Epidemic,,,,,,
,Meteorological - Hydrological:,Duncan and North Cowichan (Vancouver Island) BC,20-Nov-09,Unknown,Unknown,900,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Vancouver and Fraser BC,27-Jul-09,455,Unknown,Unknown,Unknown
,Heat Event,,,,,,
,Meteorological - Hydrological:,"Kelowna, Kamloops and Cariboo BC",01-May-09,1,0,20000,"$98,743,529 "
,Wildfire,,,,,,
,Biological:,Across Canada,01-Apr-09,425,8582,0,Unknown
,Pandemic,,,,,,
,Meteorological - Hydrological:,Greater Vancouver and Fraser Valley BC,06-Jan-09,0,0,0,"$3,591,884 "
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,"Vancouver, Fraser Valley and the Greater Vancouver Regional Districts BC",06-Jan-09,0,0,0,"$13,191,884 "
,Storms and Severe Thunderstorms,,,,,,
,Biological:,Across Canada,01-Aug-08,22,57,0,Unknown
,Epidemic,,,,,,
,Meteorological - Hydrological:,Prince George BC,10-Dec-07,0,0,20,"$7,500,000 "
,Flood,,,,,,
,Meteorological - Hydrological:,Vancouver BC,12-Nov-07,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Kootenay BC,01-Aug-07,0,0,9,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,"Terrace, Smithers & Mount Currie BC",05-Jun-07,0,0,375,"$9,600,000 "
,Flood,,,,,,
,Meteorological - Hydrological:,Maple Ridge BC,12-Mar-07,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,South Coast and Lower Mainland BC,20-Dec-06,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Vancouver BC,11-Dec-06,0,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Fire:,Galiano Island BC,24-Jul-06,0,0,120,Unknown
,Non-Residential,,,,,,
,Meteorological - Hydrological:,Cariboo-Chilcotin BC,06-Jul-06,0,0,871,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Tumbler Ridge BC,03-Jul-06,0,0,4000,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Slocan River BC,20-May-06,0,0,159,Unknown
,Flood,,,,,,
